"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT2G21930",0.888321023529139,3.10572639976649,3.60212225080875,0.862193502474601,0.388581044607593,NA
"AT2G21980",0,NA,NA,NA,NA,NA
"AT2G22030",0,NA,NA,NA,NA,NA
"AT2G22040",0,NA,NA,NA,NA,NA
"AT2G22050",0,NA,NA,NA,NA,NA
"AT2G22055",0,NA,NA,NA,NA,NA
"AT2G22060",0.220978903986876,1.1021515281592,4.99724364020502,0.220551889704138,0.825441364967029,NA
"AT2G22088",2.33814852433034,1.66270348890307,2.01851816918181,0.823724806785876,0.410095940857625,NA
"AT2G22121",0,NA,NA,NA,NA,NA
"AT2G22145",0,NA,NA,NA,NA,NA
"AT2G22155",0,NA,NA,NA,NA,NA
"AT2G22160",0,NA,NA,NA,NA,NA
"AT2G22180",0,NA,NA,NA,NA,NA
"AT2G22210",0,NA,NA,NA,NA,NA
"AT2G22241",0,NA,NA,NA,NA,NA
"AT2G22290",0.293669261783794,-1.82960689252525,4.98950190475368,-0.366691290523834,0.713849303864659,NA
"AT2G22320",0,NA,NA,NA,NA,NA
"AT2G22340",1.18052181611905,1.63382474265151,2.86543089751074,0.570184660209691,0.568552459150995,NA
"AT2G22345",0,NA,NA,NA,NA,NA
"AT2G22350",0,NA,NA,NA,NA,NA
"AT2G22426",0.220978903986876,1.1021515281592,4.99724364020502,0.220551889704138,0.825441364967029,NA
"AT2G22440",0,NA,NA,NA,NA,NA
"AT2G22460",0.783953850452815,-1.33761505565522,3.34811108042493,-0.399513344546938,0.689514992998909,NA
"AT2G22465",0.293669261783794,-1.82960689252525,4.98950190475368,-0.366691290523834,0.713849303864659,NA
"AT2G22520",0,NA,NA,NA,NA,NA
"AT2G22590",0.709795023462018,0.674789280416871,4.03228737289007,0.167346525189059,0.867097398438649,NA
"AT2G22630",0.293669261783794,-1.82960689252525,4.98950190475368,-0.366691290523834,0.713849303864659,NA
"AT2G22710",0.44342627716763,2.10354099041584,4.68647834071865,0.448853240638956,0.653537529120549,NA
"AT2G22750",0,NA,NA,NA,NA,NA
"AT2G22805",0,NA,NA,NA,NA,NA
"AT2G22807",0,NA,NA,NA,NA,NA
"AT2G22820",0.888321023529139,3.10572639976649,3.60212225080875,0.862193502474601,0.388581044607593,NA
"AT2G22930",0.711263492655897,0.677515882565966,3.43868844954115,0.197027411034103,0.843806087301014,NA
"AT2G22940",0,NA,NA,NA,NA,NA
"AT2G22941",0,NA,NA,NA,NA,NA
"AT2G22942",0,NA,NA,NA,NA,NA
"AT2G22950",0,NA,NA,NA,NA,NA
"AT2G22960",0,NA,NA,NA,NA,NA
"AT2G23050",2.75574275520244,2.02374406919028,2.07683698851318,0.974435682907925,0.329840259378726,NA
"AT2G23067",0,NA,NA,NA,NA,NA
"AT2G23096",0.667342119542263,2.69295754453814,4.85646893648247,0.554509372912542,0.5792302928747,NA
"AT2G23110",1.89031683958107,1.2442660198812,2.12299251277235,0.586090630275634,0.557814612452479,NA
"AT2G23118",0,NA,NA,NA,NA,NA
"AT2G23142",0,NA,NA,NA,NA,NA
"AT2G23148",0,NA,NA,NA,NA,NA
"AT2G23160",0,NA,NA,NA,NA,NA
"AT2G23190",0.855175739055855,-3.38734344585924,3.65782388675758,-0.92605427454352,0.354417775205916,NA
"AT2G23220",0,NA,NA,NA,NA,NA
"AT2G23230",0,NA,NA,NA,NA,NA
"AT2G23240",0,NA,NA,NA,NA,NA
"AT2G23250",0,NA,NA,NA,NA,NA
"AT2G23260",0,NA,NA,NA,NA,NA
"AT2G23321",0,NA,NA,NA,NA,NA
"AT2G23400",0,NA,NA,NA,NA,NA
"AT2G23410",0.222447373180754,1.10695571217707,4.9968980720458,0.221528575571657,0.824680889167006,NA
"AT2G23440",0,NA,NA,NA,NA,NA
"AT2G23445",0,NA,NA,NA,NA,NA
"AT2G23480",0,NA,NA,NA,NA,NA
"AT2G23490",0,NA,NA,NA,NA,NA
"AT2G23500",0,NA,NA,NA,NA,NA
"AT2G23510",0,NA,NA,NA,NA,NA
"AT2G23570",0,NA,NA,NA,NA,NA
"AT2G23580",0,NA,NA,NA,NA,NA
"AT2G23630",1.33321576989065,3.69144062001934,3.15764387248002,1.16904906604305,0.242383863328428,NA
"AT2G23640",0,NA,NA,NA,NA,NA
"AT2G23660",0,NA,NA,NA,NA,NA
"AT2G23710",0,NA,NA,NA,NA,NA
"AT2G23720",0,NA,NA,NA,NA,NA
"AT2G23800",0,NA,NA,NA,NA,NA
"AT2G23830",0.587338523567588,-2.84230942595916,4.88798853552553,-0.581488562279038,0.560911224686657,NA
"AT2G23834",0,NA,NA,NA,NA,NA
"AT2G23880",0,NA,NA,NA,NA,NA
"AT2G23900",0.712731961849776,0.683031902306574,4.02762543936828,0.169586748467282,0.865335144777878,NA
"AT2G23945",2.62701200502447,0.523734066341917,2.20889982653016,0.237101773494465,0.812577836543202,NA
"AT2G23960",2.38950867418854,-3.29694129855769,2.46255682628321,-1.33882851488704,0.180626505589058,NA
"AT2G23970",0,NA,NA,NA,NA,NA
"AT2G23987",0,NA,NA,NA,NA,NA
"AT2G23990",0,NA,NA,NA,NA,NA
"AT2G24000",0.293669261783794,-1.82960689252525,4.98950190475368,-0.366691290523834,0.713849303864659,NA
"AT2G24080",0,NA,NA,NA,NA,NA
"AT2G24130",1.54978926629589,3.90905602903564,2.91680705580697,1.34018327377988,0.180185768086363,NA
"AT2G24140",3.1841130747149,-0.0840903491621946,1.69412545349922,-0.0496364357128958,0.960412110905342,NA
"AT2G24195",0,NA,NA,NA,NA,NA
"AT2G24205",0,NA,NA,NA,NA,NA
"AT2G24210",0,NA,NA,NA,NA,NA
"AT2G24285",1.89619071635659,1.24943199163112,2.54142378801623,0.491626779257621,0.622983208772601,NA
"AT2G24320",2.79859603263022,1.93625210463144,2.23799135420389,0.865174077189503,0.386943251207381,NA
"AT2G24340",0,NA,NA,NA,NA,NA
"AT2G24370",0.44342627716763,2.10354099041584,4.68647834071865,0.448853240638956,0.653537529120549,NA
"AT2G24400",0.885384085141382,3.1013837679611,3.60558280127737,0.860161571344959,0.389699984669725,NA
"AT2G24410",0,NA,NA,NA,NA,NA
"AT2G24430",1.15322130062965,1.67392725572466,2.93381189662814,0.570563933443901,0.568295272496337,NA
"AT2G24450",1.10489451993438,3.42094321128935,4.09494899813151,0.835405572291692,0.40348939345547,NA
"AT2G24460",0,NA,NA,NA,NA,NA
"AT2G24470",0,NA,NA,NA,NA,NA
